"CELEB1","CELEB2","STARTED","ENDED"
"Aaron Carter","Lindsay Lohan","",""
"Adam Duritz","Jennifer Aniston","",""
"Adam Duritz","Winona Ryder","",""
"Adam Goldberg","Christina Ricci","",""
"Adam Goldstein","Mandy Moore","",""
"Adam Goldstein","Nicole Richie","2003","2005"
"Alfred de Musset","George Sand","1833","1834"
"Alyssa Milano","Justin Timberlake","",""
"Amanda Peet","Ben Stiller","",""
"Andy Roddick","Mandy Moore","2002","2004"
"Angelina Jolie","Jenny Shimizu","",""
"Angie Everhart","Howard Stern","",""
"Anthony Kiedis","Heidi Klum","",""
"Antinous","Hadrian","124","130"
"Ashlee Simpson","Braxton Olita","",""
"Ashlee Simpson","Chris Raab","",""
"Ashlee Simpson","Gregory Smith","",""
"Ashlee Simpson","Josh Henderson","",""
"Ashlee Simpson","Ryan Cabrera","",""
"Ashlee Simpson","Wilmer Valderrama","",""
"Beck","Winona Ryder","",""
"Ben Affleck","Gwyneth Paltrow","",""
"Ben Affleck","Jennifer Lopez","",""
"Ben Lee","Claire Danes","1998","2003"
"Ben Stiller","Calista Flockhart","",""
"Ben Stiller","Janeane Garofalo","",""
"Ben Stiller","Jeanne Tripplehorn","",""
"Beyoncé","Jay-Z","",""
"Billy Crawford","Mandy Moore","",""
"Billy Crudup","Claire Danes","2004","2006-12"
"Billy Crudup","Mary-Louise Parker","1996","2003-11"
"Billy Zane","Kate Moss","",""
"Blake Lively","Penn Badgley","",""
"Blake Sennett","Winona Ryder","",""
"Brad Pitt","Gwyneth Paltrow","",""
"Brad Pitt","Jill Schoelen","",""
"Brad Pitt","Juliette Lewis","",""
"Brad Pitt","Robin Givens","",""
"Brad Pitt","Shalane McCall","1987","1988"
"Brad Pitt","Sinitta","",""
"Brad Pitt","Thandie Newton","",""
"Bret Michaels","Pamela Anderson","",""
"Brett Ratner","Serena Williams","",""
"Bridget Moynahan","Tom Brady","",""
"Britney Spears","Fred Durst","",""
"Britney Spears","Justin Timberlake","1998","2002"
"Britt Ekland","Warren Beatty","",""
"Brody Jenner","Lauren Conrad","",""
"Brody Jenner","Nicole Richie","",""
"Brooke Burns","Bruce Willis","",""
"Bruce Willis","Emily Sandberg","",""
"Bruce Willis","Emma Heming","",""
"Bruce Willis","Karen McDougal","",""
"Bruce Willis","Maria Bravo Rosado","",""
"Bruce Willis","Tamara Witmer","",""
"Cameron Diaz","Jared Leto","1998","2002"
"Cameron Diaz","Justin Timberlake","",""
"Cameron Diaz","Matt Dillon","1995","1998"
"Candice Bergen","Warren Beatty","",""
"Carlos Leon","Madonna","",""
"Carly Simon","Warren Beatty","",""
"Carol Leifer","Jerry Seinfeld","",""
"Carrie Underwood","Chace Crawford","",""
"Carroll Lesesne","Katie Couric","1999","2000"
"Catherine Deneuve","Warren Beatty","",""
"Charlie Sheen","Kelly Preston","",""
"Charlie Sheen","Paula Profit","",""
"Charlize Theron","Stephan Jenkins","1998","2001"
"Charlize Theron","Stuart Townsend","",""
"Cher","Tom Cruise","1983","1986"
"Chris Botti","Katie Couric","",""
"Chris Isaak","Winona Ryder","",""
"Chris Noth","Winona Ryder","",""
"Chris Webber","Tyra Banks","",""
"Christian Slater","Winona Ryder","1989","1990"
"Christina Ricci","Kick Gurry","",""
"Christopher Heinz","Gwyneth Paltrow","2000","2001"
"Claire Danes","Hugh Dancy","",""
"Common","Serena Williams","",""
"Conor Oberst","Winona Ryder","",""
"Dave Grohl","Winona Ryder","",""
"Dave Pirner","Winona Ryder","1993","1996"
"David Duchovny","Winona Ryder","",""
"David Furnish","Elton John","",""
"Dax Shepard","Kristen Bell","",""
"Del Synnott","Keira Knightley","",""
"Dennis Rodman","Madonna","",""
"Devendra Banhart","Natalie Portman","",""
"Diana, Princess of Wales","James Hewitt","",""
"Diane Keaton","Woody Allen","",""
"Diane Sawyer","Frank Gannon","",""
"Diane Sawyer","Henry Kissinger","",""
"Elizabeth Daily","Nicolas Cage","",""
"Emma Thompson","Hugh Laurie","",""
"Eva Mendes","George Gargurevich","",""
"Evan Dando","Winona Ryder","",""
"Faye Dunaway","Warren Beatty","",""
"Flavio Briatore","Heidi Klum","",""
"Frank Sinatra","Judith Exner","",""
"Frédéric Chopin","George Sand","1837","1847"
"Gabriel Aubry","Halle Berry","",""
"George Sand","Jules Sandeau","",""
"Gina Gershon","John Cusack","",""
"Gina Gershon","Owen Wilson","",""
"Gisele Bündchen","Kelly Slater","",""
"Gisele Bündchen","Leonardo DiCaprio","2002","2005"
"Gisele Bündchen","Tom Brady","",""
"Greg Laswell","Mandy Moore","",""
"Gwen Stefani","Tony Ashwin Kanal","",""
"Gwyneth Paltrow","Luke Wilson","",""
"Gwyneth Paltrow","Robert Sean Leonard","",""
"Hayden Panettiere","Milo Ventimiglia","",""
"Hayden Panettiere","Stephen Colletti","",""
"Helena Bonham Carter","Kenneth Branagh","1994","1999"
"Howard Stern","Robin Givens","",""
"Isabelle Adjani","Warren Beatty","",""
"Jake Gyllenhaal","Jenny Lewis","",""
"Jake Gyllenhaal","Kirsten Dunst","",""
"Jake Gyllenhaal","Reese Witherspoon","",""
"Jakob Dylan","Winona Ryder","",""
"Jamie Dornan","Keira Knightley","",""
"Jamie Hince","Kate Moss","",""
"Jane Fonda","Warren Beatty","",""
"Janice Dickinson","Warren Beatty","",""
"Jason Behr","Katherine Heigl","",""
"Jason Kay","Winona Ryder","",""
"Jason Wahler","Lauren Conrad","",""
"Jean-Michel Basquiat","Madonna","",""
"Jefferson Hack","Kate Moss","",""
"Jeffrey Dean Morgan","Mary-Louise Parker","2006","2008-03"
"Jenna Dewan","Justin Timberlake","",""
"Jennifer Aniston","John Mayer","",""
"Jennifer Aniston","Orlando Bloom","",""
"Jennifer Aniston","Paul Sculfor","",""
"Jennifer Aniston","Tate Donovan","",""
"Jennifer Aniston","Vince Vaughn","",""
"Jennifer Garner","Michael Vartan","",""
"Jennifer Grey","Johnny Depp","",""
"Jennifer Lopez","Sean Combs","1997-08","1999-12"
"Jennifer Love Hewitt","John Mayer","",""
"Jennifer Love Hewitt","Rich Cronin","1999","2001"
"Jennifer Love Hewitt","Wilmer Valderrama","",""
"Jessica Biel","Justin Timberlake","",""
"Jessica Simpson","John Mayer","",""
"Jimmy Reyes","Katie Couric","",""
"Joan Collins","Warren Beatty","",""
"Joaquin Phoenix","Liv Tyler","1995","1998"
"Joel Madden","Nicole Richie","",""
"Joey Lawrence","Katherine Heigl","",""
"John Anthony Gillis","Winona Ryder","",""
"John Benitez","Madonna","",""
"John F. Kennedy","Judith Exner","",""
"John F. Kennedy","Marilyn Monroe","",""
"John F. Kennedy, Jr.","Sarah Jessica Parker","",""
"John Mayer","Minka Kelly","",""
"John Singleton","Tyra Banks","",""
"Johnny Depp","Kate Moss","",""
"Johnny Depp","Sherilyn Fenn","",""
"Johnny Depp","Winona Ryder","1990","1993"
"Joshua Kadison","Sarah Jessica Parker","",""
"Judith Exner","Sam Giancana","",""
"Julian Casablancas","Winona Ryder","",""
"Julie Christie","Warren Beatty","",""
"Kate Hudson","Lance Armstrong","",""
"Kate Hudson","Owen Wilson","",""
"Kate Moss","Mario Sorrenti","",""
"Kate Moss","Peter Doherty","2005-09","2007-07"
"Katie Couric","Tom Werner","2000","2004"
"Keira Knightley","Rupert Friend","",""
"Keith Urban","Niki Taylor","2002","2004"
"Kevin Federline","Shar Jackson","",""
"Kevin Mann","Kristen Bell","2002","2007"
"Kim Kardashian","Ray J","",""
"Kim Kardashian","Reggie Bush","",""
"Lance Armstrong","Sheryl Crow","",""
"Leisha Hailey","k.d. lang","",""
"Lenny Kravitz","Nicole Kidman","2003","2004"
"Leslie Caron","Warren Beatty","",""
"Lindsay Lohan","Samantha Ronson","",""
"Lindsay Lohan","Wilmer Valderrama","",""
"Luis Miguel","Mariah Carey","",""
"Madonna","Mark Kamins","",""
"Madonna","Tony Ward","",""
"Madonna","Vanilla Ice","",""
"Madonna","Warren Beatty","",""
"Mandy Moore","Ryan Adams","",""
"Mandy Moore","Wilmer Valderrama","2000","2002"
"Mandy Moore","Zach Braff","2004","2006"
"Marcus Schenkenberg","Pamela Anderson","",""
"Mark Wahlberg","Winona Ryder","",""
"Matt Damon","Minnie Driver","",""
"Matt Damon","Odessa Whitmire","2001","2003"
"Matt Damon","Winona Ryder","1996","2000"
"Mia Farrow","Woody Allen","1980","1992"
"Miley Cyrus","Nick Jonas","",""
"Nicolas Cage","Uma Thurman","",""
"Nicole Kidman","Robbie Williams","",""
"Paris Hilton","Rick Salomon","",""
"Paul Westerberg","Winona Ryder","",""
"Penélope Cruz","Tom Cruise","2001","2004"
"Pete Yorn","Winona Ryder","",""
"Rhett Miller","Winona Ryder","",""
"Rob Mack","Vanessa L. Williams","",""
"Robert Downey Jr.","Sarah Jessica Parker","1984","1991"
"Ryan Adams","Winona Ryder","",""
"Ryan Seacrest","Shana Wall","2003","2005"
"Simon Cowell","Terri Seymour","2002","2006"
"Soon-Yi Previn","Woody Allen","",""
"Stacey Nelkin","Woody Allen","",""
"Stephan Jenkins","Winona Ryder","",""
"Tré Cool","Winona Ryder","",""
"Vanessa Anne Hudgens","Zac Efron","",""
"Ben Stiller","Amanda Peet","",""
"Braxton Olita","Ashlee Simpson","",""
"Bruce Willis","Brooke Burns","",""
"Calista Flockhart","Ben Stiller","",""
"Chace Crawford","Carrie Underwood","",""
"Chris Raab","Ashlee Simpson","",""
"Christina Ricci","Adam Goldberg","",""
"Claire Danes","Ben Lee","1998","2003"
"Claire Danes","Billy Crudup","2004","2006-12"
"Elton John","David Furnish","",""
"Emily Sandberg","Bruce Willis","",""
"Emma Heming","Bruce Willis","",""
"Frank Gannon","Diane Sawyer","",""
"Fred Durst","Britney Spears","",""
"George Gargurevich","Eva Mendes","",""
"George Sand","Alfred de Musset","1833","1834"
"George Sand","Frédéric Chopin","1837","1847"
"Gregory Smith","Ashlee Simpson","",""
"Gwyneth Paltrow","Ben Affleck","",""
"Gwyneth Paltrow","Brad Pitt","",""
"Gwyneth Paltrow","Christopher Heinz","2000","2001"
"Hadrian","Antinous","124","130"
"Halle Berry","Gabriel Aubry","",""
"Heidi Klum","Anthony Kiedis","",""
"Heidi Klum","Flavio Briatore","",""
"Henry Kissinger","Diane Sawyer","",""
"Howard Stern","Angie Everhart","",""
"Hugh Dancy","Claire Danes","",""
"Hugh Laurie","Emma Thompson","",""
"James Hewitt","Diana, Princess of Wales","",""
"Janeane Garofalo","Ben Stiller","",""
"Jared Leto","Cameron Diaz","1998","2002"
"Jay-Z","Beyoncé","",""
"Jeanne Tripplehorn","Ben Stiller","",""
"Jennifer Aniston","Adam Duritz","",""
"Jennifer Lopez","Ben Affleck","",""
"Jenny Lewis","Jake Gyllenhaal","",""
"Jenny Shimizu","Angelina Jolie","",""
"Jerry Seinfeld","Carol Leifer","",""
"Jill Schoelen","Brad Pitt","",""
"John Cusack","Gina Gershon","",""
"John Mayer","Jennifer Aniston","",""
"John Mayer","Jennifer Love Hewitt","",""
"John Mayer","Jessica Simpson","",""
"Johnny Depp","Jennifer Grey","",""
"Josh Henderson","Ashlee Simpson","",""
"Judith Exner","Frank Sinatra","",""
"Judith Exner","John F. Kennedy","",""
"Jules Sandeau","George Sand","",""
"Juliette Lewis","Brad Pitt","",""
"Justin Timberlake","Alyssa Milano","",""
"Justin Timberlake","Britney Spears","1998","2002"
"Justin Timberlake","Cameron Diaz","",""
"Justin Timberlake","Jenna Dewan","",""
"Justin Timberlake","Jessica Biel","",""
"Karen McDougal","Bruce Willis","",""
"Kate Moss","Billy Zane","",""
"Kate Moss","Jamie Hince","",""
"Kate Moss","Jefferson Hack","",""
"Kate Moss","Johnny Depp","",""
"Katherine Heigl","Jason Behr","",""
"Katherine Heigl","Joey Lawrence","",""
"Katie Couric","Carroll Lesesne","1999","2000"
"Katie Couric","Chris Botti","",""
"Katie Couric","Jimmy Reyes","",""
"Keira Knightley","Del Synnott","",""
"Keira Knightley","Jamie Dornan","",""
"Kelly Preston","Charlie Sheen","",""
"Kelly Slater","Gisele Bündchen","",""
"Kenneth Branagh","Helena Bonham Carter","1994","1999"
"Kick Gurry","Christina Ricci","",""
"Kirsten Dunst","Jake Gyllenhaal","",""
"Kristen Bell","Dax Shepard","",""
"Kristen Bell","Kevin Mann","2002","2007"
"Lance Armstrong","Kate Hudson","",""
"Lauren Conrad","Brody Jenner","",""
"Lauren Conrad","Jason Wahler","",""
"Leonardo DiCaprio","Gisele Bündchen","2002","2005"
"Lindsay Lohan","Aaron Carter","",""
"Liv Tyler","Joaquin Phoenix","1995","1998"
"Luke Wilson","Gwyneth Paltrow","",""
"Madonna","Carlos Leon","",""
"Madonna","Dennis Rodman","",""
"Madonna","Jean-Michel Basquiat","",""
"Madonna","John Benitez","",""
"Mandy Moore","Adam Goldstein","",""
"Mandy Moore","Andy Roddick","2002","2004"
"Mandy Moore","Billy Crawford","",""
"Mandy Moore","Greg Laswell","",""
"Maria Bravo Rosado","Bruce Willis","",""
"Mariah Carey","Luis Miguel","",""
"Marilyn Monroe","John F. Kennedy","",""
"Mario Sorrenti","Kate Moss","",""
"Mark Kamins","Madonna","",""
"Mary-Louise Parker","Billy Crudup","1996","2003-11"
"Mary-Louise Parker","Jeffrey Dean Morgan","2006","2008-03"
"Matt Dillon","Cameron Diaz","1995","1998"
"Michael Vartan","Jennifer Garner","",""
"Milo Ventimiglia","Hayden Panettiere","",""
"Minka Kelly","John Mayer","",""
"Minnie Driver","Matt Damon","",""
"Natalie Portman","Devendra Banhart","",""
"Nick Jonas","Miley Cyrus","",""
"Nicolas Cage","Elizabeth Daily","",""
"Nicole Kidman","Lenny Kravitz","2003","2004"
