"CELEB","MOVIE"
"Helena Bonham Carter","Merlin"
"Helena Bonham Carter","Conversations with Other Women"
"Helena Bonham Carter","Twelfth Night: Or What You Will"
"Helena Bonham Carter","Charlie and the Chocolate Factory"
"Helena Bonham Carter","Till Human Voices Wake Us"
"Helena Bonham Carter","Women Talking Dirty"
"Helena Bonham Carter","The Revengers' Comedies"
"Helena Bonham Carter","Big Fish"
"Helena Bonham Carter","Sixty Six"
"Helena Bonham Carter","The Theory of Flight"
"Helena Bonham Carter","Shantaram"
"Helena Bonham Carter","Harry Potter and the Order of the Phoenix"
"Helena Bonham Carter","Where Angels Fear to Tread"
"Helena Bonham Carter","Fight Club"
"Helena Bonham Carter","The Wings of the Dove"
"Helena Bonham Carter","Getting It Right"
"Helena Bonham Carter","Novocaine"
"Helena Bonham Carter","Howards End"
"Helena Bonham Carter","Wallace & Gromit: The Curse of the Were-Rabbit"
"Helena Bonham Carter","A Room with a View"
"Helena Bonham Carter","Mary Shelley's Frankenstein"
"Helena Bonham Carter","Lady Jane"
"Helena Bonham Carter","Hamlet"
"Helena Bonham Carter","Margaret's Museum"
"Helena Bonham Carter","Mighty Aphrodite"
"Helena Bonham Carter","Planet of the Apes"
"Helena Bonham Carter","Live from Baghdad"
"Helena Bonham Carter","Corpse Bride"
"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street"
"Bret Michaels","A Letter from Death Row"
"Pamela Anderson","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"
"Pamela Anderson","The Flintstones: Little Big League"
"Pamela Anderson","Pauly Shore Is Dead"
"Pamela Anderson","Roast of Pamela Anderson: Uncensored"
"Pamela Anderson","Snapdragon"
"Pamela Anderson","Stacked: The Complete Series"
"Pamela Anderson","Raw Justice"
"Pamela Anderson","Blonde and Blonder"
"Pamela Anderson","Naked Souls"
"Pamela Anderson","Barb Wire"
"Lauren Conrad","Legally Blonde: The Musical"
"Lauren Conrad","Epic Movie"
"Stephan Jenkins","Art of Revenge"
"Uma Thurman","Jennifer Eight"
"Uma Thurman","The Accidental Husband"
"Uma Thurman","Bee Movie"
"Uma Thurman","In Bloom"
"Uma Thurman","Hysterical Blindness"
"Uma Thurman","Les Miserables - The Dream Cast in Concert"
"Uma Thurman","Robin Hood"
"Uma Thurman","Les Misérables"
"Uma Thurman","Kiss Daddy Goodnight"
"Uma Thurman","Final Analysis"
"Uma Thurman","Pulp Fiction"
"Uma Thurman","Gattaca"
"Uma Thurman","Beautiful Girls"
"Uma Thurman","Nausicaä of the Valley of the Wind"
"Uma Thurman","The Avengers"
"Uma Thurman","Even Cowgirls Get the Blues"
"Uma Thurman","Johnny Be Good"
"Uma Thurman","Kill Bill"
"Uma Thurman","The Truth About Cats & Dogs"
"Uma Thurman","Vatel"
"Uma Thurman","Prime"
"Uma Thurman","Paycheck"
"Uma Thurman","Batman & Robin"
"Uma Thurman","The Adventures of Baron Munchausen"
"Uma Thurman","Where the Heart Is"
"Uma Thurman","Henry & June"
"Uma Thurman","My Super Ex-Girlfriend"
"Uma Thurman","The Producers"
"Uma Thurman","Be Cool"
"Uma Thurman","The Golden Bowl"
"Uma Thurman","Sweet and Lowdown"
"Uma Thurman","Mad Dog and Glory"
"Uma Thurman","Tape"
"Uma Thurman","Dangerous Liaisons"
"Natalie Portman","Closer"
"Natalie Portman","My Blueberry Nights"
"Natalie Portman","New York, I Love You"
"Natalie Portman","Beautiful Girls"
"Natalie Portman","Brothers"
"Natalie Portman","V for Vendetta"
"Natalie Portman","Heat"
"Natalie Portman","Garden State"
"Natalie Portman","Anywhere But Here"
"Natalie Portman","Hotel Chevalier"
"Natalie Portman","Free Zone"
"Natalie Portman","Where the Heart Is"
"Natalie Portman","Star Wars Episode III: Revenge of the Sith"
"Natalie Portman","Cold Mountain"
"Natalie Portman","Mars Attacks!"
"Natalie Portman","Brother"
"Natalie Portman","The Other Boleyn Girl"
"Natalie Portman","Star Wars Episode II: Attack of the Clones"
"Natalie Portman","Star Wars Episode I: The Phantom Menace"
"Natalie Portman","The Darjeeling Limited"
"Natalie Portman","Everyone Says I Love You"
"Natalie Portman","Léon"
"Natalie Portman","Goya's Ghosts"
"Natalie Portman","Mr. Magorium's Wonder Emporium"
"Kenneth Branagh","Dead Again"
"Kenneth Branagh","Alien Love Triangle"
"Kenneth Branagh","Much Ado About Nothing"
